IDNo_,Comment,Point,NAME_Species,Input_SiO2,Input_TiO2,Input_Al2O3,Input_Cr2O3,Input_FeO,Input_NiO,Input_MnO,Input_MgO,Input_CaO,Input_Na2O,Input_K2O,Input_P2O5,Input_SO3,Input_F,Input_Cl,Input_V2O3,Input_ZnO,Input_CoO,Input_BaO,Input_SrO,Input_B2O3,Input_PbO,Input_CuO,Input_Sb2O3,Input_As2O5,Input_ThO2,Input_ZrO2,Input_HfO2,Input_Ag2O,Input_Y2O3,Input_La2O3,Input_Ce2O3,Input_Nd2O3
1_1,,1,Cristobalite,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_2,,2,Cristobalite,99.03096903,0.37962038,0.17982018,,0.08991009,,0.01998002,0.02997003,0.01998002,0.04995005,0.16983017,0.02997003,,,,,,,,,,,,,,,,,,,,,
1_3,,3,Quartz,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_4,,4,Quartz,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_5,,5,Tridymite,95.14376613,0.260119655,2.401104508,,0.324149109,,,0.300138064,0.400184085,0.800368169,0.370170278,,,,,,,,,,,,,,,,,,,,,,
1_6,,6,Tridymite,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_7,,7,Amorphous silica,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_8,,8,Obsidian,88.54,,11.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_1,,9,Ankerite,,,,,31.373,,8.7926,11.352,48.504,,,,,,,,,,,,,,,,,,,,,,,,
2_2,,10,Calcite,,,,,0.771023848,,,3.119956966,96.10901919,,,,,,,,,,,,,,,,,,,,,,,,
2_3,,11,Calcite,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
2_4,,12,Dolomite,0.227574436,,,,0.417219799,,,40.0531007,59.30210506,,,,,,,,,,,,,,,,,,,,,,,,
2_5,,13,Dolomite,,,,,,,,41.82131242,58.17868758,,,,,,,,,,,,,,,,,,,,,,,,
2_8,,14,Magnesite,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
2_9,,15,Magnesite,,,,,1.238901507,,1.383440017,97.23311997,0.144538509,,,,,,,,,,,,,,,,,,,,,,,,
2_10,,16,Nesquehonite,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
2_11,,17,Nesquehonite,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
2_12,,18,Rhodochrosite,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,
2_13,,19,Rhodochrosite,,,,,1.238938053,,97.94046661,,0.820595334,,,,,,,,,,,,,,,,,,,,,,,,
2_14,,20,Siderite,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_15,,21,Siderite,,,,,97.83757809,,1.79400929,0.208233221,0.160179401,,,,,,,,,,,,,,,,,,,,,,,,
2_16,,22,Strontianite,,,,,,,,,3.902862099,,,,,,,,,,0.245735762,95.85140214,,,,,,,,,,,,,
2_17,,23,Strontianite,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,
2_18,,24,Natrite,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,
2_19,,25,Natrite,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,
2_20,,26,Natron,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,
2_21,,27,Natron,,,,,,,,0.650195059,0.78023407,93.19462505,,,3.59774599,,1.777199827,,,,,,,,,,,,,,,,,,
3_1,,28,Anhydrite,,,0.030133491,,0.027120142,,,,41.31301666,,,,58.6297297,,,,,,,,,,,,,,,,,,,,
3_2,,29,Anhydrite,,,,,,,,,41.19,,,,58.81,,,,,,,,,,,,,,,,,,,,
3_3,,30,Bassanite,,,,,,,,,41.05938656,,,,58.94061344,,,,,,,,,,,,,,,,,,,,
3_4,,31,Bassanite,,,,,,,,,41.18775989,,,,58.81224011,,,,,,,,,,,,,,,,,,,,
3_5,,32,Gypsum,,,,,,,,,41.29657989,,,,58.70342011,,,,,,,,,,,,,,,,,,,,
3_6,,33,Gypsum,,,,,,,,,41.19134944,,,,58.80865056,,,,,,,,,,,,,,,,,,,,
3_7,,34,Mirabilite,,,,,,,,,,42.59639516,,,57.40360484,,,,,,,,,,,,,,,,,,,,
3_8,,35,Mirabilite,,,,,,,,,,43.63801315,,,56.36198685,,,,,,,,,,,,,,,,,,,,
3_9,,36,Thenardite,,,,,,,,,2.689313517,42.3718532,,,54.93883328,,,,,,,,,,,,,,,,,,,,
3_10,,37,Thenardite,,,,,,,,,,43.63,,,56.37,,,,,,,,,,,,,,,,,,,,
3_11,,38,Alpersite,,,,,0.551892962,,,18.19202727,,,,,57.09543231,,,,1.267309765,,,,,,22.89333769,,,,,,,,,,
3_12,,39,Caminite,,,,,,,,41.34470106,,,,,58.65529894,,,,,,,,,,,,,,,,,,,,
3_13,,40,Caminite,,,,,,,,41.44444444,,,,,58.55555556,,,,,,,,,,,,,,,,,,,,
3_14,,41,Epsomite,,,,,,,,33.4971335,,,,,66.5028665,,,,,,,,,,,,,,,,,,,,
3_15,,42,Epsomite,,,,,,,,33.40867064,,,,,66.59132936,,,,,,,,,,,,,,,,,,,,
3_16,,43,Kieserite,,,,,,,,33.49045758,,,,,66.50954242,,,,,,,,,,,,,,,,,,,,
3_17,,44,Kieserite,,,,,,,,33.36017485,,,,,66.63982515,,,,,,,,,,,,,,,,,,,,
3_18,,45,Meridianiite,,,,,,,,33.47446414,,,,,66.52553586,,,,,,,,,,,,,,,,,,,,
3_19,,46,Merrillite,,,,,,,,3.76,47.04,2.89,,46.31,,,,,,,,,,,,,,,,,,,,,
3_20,,47,Mooreite,,,,,,,13.53675451,37.10124827,,,,,16.0887656,,,,33.27323162,,,,,,,,,,,,,,,,
3_21,,48,Mooreite,,,,,,,16.36937431,34.82436883,,,,,15.07958288,,,,33.72667398,,,,,,,,,,,,,,,,
3_22,,49,Sanderite,,,,,,,,33.48492723,,,,,66.51507277,,,,,,,,,,,,,,,,,,,,
3_24,,50,D'ansite,,,,,,,,2.52,,40.72,,,50.1,,6.66,,,,,,,,,,,,,,,,,,
3_25,,51,Vanthoffite,,,,,,,,7.403314917,,33.79206429,,,58.80462079,,,,,,,,,,,,,,,,,,,,
3_26,,52,Vanthoffite,,,,,,,,7.38,,34.02,,,58.6,,,,,,,,,,,,,,,,,,,,
3_27,,53,Bilinite,,,,,37.55308607,,,0.230039638,,0.513165345,,,61.70370895,,,,,,,,,,,,,,,,,,,,
3_28,,54,Bilinite,,,,,40.22931559,,,,,,,,59.77068441,,,,,,,,,,,,,,,,,,,,
3_29,,55,Copiapite,,,,,41.79308252,,,,,,,,58.20691748,,,,,,,,,,,,,,,,,,,,
3_30,,56,Copiapite,,,,,42.79121697,,,,,,,,57.20878303,,,,,,,,,,,,,,,,,,,,
3_32,,57,Coquimbite,,,,,37.431378,,,,,,,,62.568622,,,,,,,,,,,,,,,,,,,,
3_33,,58,Ferricopiapite,,,,,41.11164785,,,,,,,,58.88835215,,,,,,,,,,,,,,,,,,,,
3_34,,59,Ferricopiapite,,,,,41.25391565,,,,,,,,58.74608435,,,,,,,,,,,,,,,,,,,,
3_35,,60,Ferrovalleriite1,,,0.14,,44.04,0.07,0.03,,,,,,38.42,,,,,,,,,,17.3,,,,,,,,,,
,,61,Ferrovalleriite2,,,0.06,,43.42,0.1,1.35,0.03,,,,,38.45,,,,,,,,,,16.6,,,,,,,,,,
,,62,Ferrovalleriite3,,,0.09,,44.06,,0.14,,0.03,,,,38.25,,,,,,,,,,17.45,,,,,,,,,,
,,63,valleriite,,,4.87,,22.1,0.55,0.08,10.32,0.06,,,,42.24,,,,,,,,,,19.86,,,,,,,,,,
3_36,,64,Hydroniumjarosite,,,,,57.38065688,,,,,,,,42.61934312,,,,,,,,,,,,,,,,,,,,
3_37,,65,Jarosite,,,,,52.04966285,,,,,0.65408446,9.216644666,,38.07960803,,,,,,,,,,,,,,,,,,,,
,,66,melanterite2,,,,,22.27,,,1.87,,,,,29.19,,,,,,,,,,,,,,,,,,,,
3_38,,67,melanterite,,,,,47.29136164,,,,,,,,52.70863836,,,,,,,,,,,,,,,,,,,,
3_39,,68,Mikasaite,,,5.856754677,,29.78772669,,0.612235169,,,,,,63.74328346,,,,,,,,,,,,,,,,,,,,
3_40,,69,Mikasaite,,,,,37.43164561,,,,,,,,62.56835439,,,,,,,,,,,,,,,,,,,,
3_41,,70,Rhomboclase,,,,,31.23225124,,,,0.139205969,,,,68.586781,,,,,,,,,,0.041761791,,,,,,,,,,
3_42,,71,Rhomboclase,,,,,30.97435756,,,,,,,,69.02564244,,,,,,,,,,,,,,,,,,,,
3_43,,72,Romerite,,,,,40.25435817,,,,,,,,59.74564183,,,,,,,,,,,,,,,,,,,,
3_44,,73,Romerite,,,,,40.23467979,,,,,,,,59.76532021,,,,,,,,,,,,,,,,,,,,
3_45,,74,Schwertmannite,,,,,81.60486674,,,,,,,,18.39513326,,,,,,,,,,,,,,,,,,,,
3_46,,75,Siderotil,,,,,25.14231499,,,,,,,,52.16635041,,,,,0.395319418,,,,,22.29601518,,,,,,,,,,
3_47,,76,Siderotil,,,,,47.29299363,,,,,,,,52.70700637,,,,,,,,,,,,,,,,,,,,
3_48,,77,Szomolnokite,,,,,47.29306488,,,,,,,,52.70693512,,,,,,,,,,,,,,,,,,,,
3_49,,78,Szomolnokite,,,,,44.87380484,,,0.2760174,0.077284872,,0.342261576,,52.95117804,,,,0.154569744,,,,,,1.324883521,,,,,,,,,,
3_50,,79,Viaeneite,,,,,29.78917979,0.139088173,,,,,,,67.87478094,,,,,,,,,2.196951096,,,,,,,,,,,
3_51,,80,Rhomboclase,,,,,30.96753841,,,,,,,,69.03246159,,,,,,,,,,,,,,,,,,,,
3_52,,81,Calciocopiapite,,,,,34.89333653,,,,6.801294343,,,,58.30536913,,,,,,,,,,,,,,,,,,,,
3_53,,82,Calciocopiapite,,,,,34.84770263,,,0.47201121,7.153919906,,,,57.52636625,,,,,,,,,,,,,,,,,,,,
3_54,,83,Sturmanite,,,4.574409769,,12.87828668,,3.175623311,,50.2617999,,,,23.91168743,,,,,,,,5.198192919,,,,,,,,,,,,
3_55,,84,Sturmanite,,,2.116659798,,14.9027835,,2.435095343,,47.95264676,,,,26.59873375,,,,,,,,5.994080845,,,,,,,,,,,,
3_56,,85,Vyalsovite,,,19.81158474,,27.27357523,,,,21.79833971,,,,31.11650033,,,,,,,,,,,,,,,,,,,,
3_57,,86,Adranosite-(Fe),,,6.403268048,,17.78504567,,,,,6.277959475,1.027530293,,63.85724847,,4.648948035,,,,,,,,,,,,,,,,,,
3_58,,87,Adranosite-(Fe),,,,,27.20181995,,,,,5.862353441,,,60.22349441,,6.712332192,,,,,,,,,,,,,,,,,,
3_59,,88,Amarillite,,,,,27.3214749,,,,,11.79116095,,,60.88736414,,,,,,,,,,,,,,,,,,,,
3_60,,89,Amarillite,,,,,27.50889527,,,,,10.20276932,,,62.28833541,,,,,,,,,,,,,,,,,,,,
3_61,,90,Clinoungemachite,,,,,7.392930593,,,,,28.68413773,14.52848569,,49.39444598,,,,,,,,,,,,,,,,,,,,
3_62,,91,Coyoteite,,,,,33.32445067,,,,,4.78887565,,,61.88667368,,,,,,,,,,,,,,,,,,,,
3_63,,92,Coyoteite,,,,,33.73320041,,,,,4.811760383,,,61.45503921,,,,,,,,,,,,,,,,,,,,
3_64,,93,Eldfellite,,,,,27.32330517,,,,,11.7865238,,,60.89017103,,,,,,,,,,,,,,,,,,,,
3_65,,94,Erdite,,,,,27.32611158,,,,,11.78312722,,,60.8907612,,,,,,,,,,,,,,,,,,,,
3_66,,95,Erdite,,,,,27.82498634,,,,,11.41888953,,,60.75612413,,,,,,,,,,,,,,,,,,,,
3_67,,96,Ferrinatrite,,,,,17.74677122,,,,,22.95894834,,,59.29428044,,,,,,,,,,,,,,,,,,,,
3_68,,97,Ferrinatrite,,,,,18.89813326,,,,,22.25640309,,,58.84546366,,,,,,,,,,,,,,,,,,,,
3_69,,98,Ferrotychite,,,,,22.2189866,,6.333721607,4.033197437,,47.02970297,,,20.38439138,,,,,,,,,,,,,,,,,,,,
3_70,,99,Ferrotychite,,,,,35.06790565,,,,,45.38956397,,,19.54253038,,,,,,,,,,,,,,,,,,,,
3_71,,100,Jarosite,,,,,50.98724342,,,,,,11.14572352,,37.86703306,,,,,,,,,,,,,,,,,,,,
3_72,,101,Metasideronatrite,,,,,23.66517396,,,,,20.16304972,0.298541738,,55.87323458,,,,,,,,,,,,,,,,,,,,
3_73,,102,Metasideronatrite,,,,,24.44433952,,,,,21.08145752,,,54.47420295,,,,,,,,,,,,,,,,,,,,
3_74,,103,Metavoltine,,,,,28.84876723,,,,,10.66540478,5.399437003,,55.08639099,,,,,,,,,,,,,,,,,,,,
3_75,,104,Metavoltine,,,,,28.53001049,,,,,10.96786133,5.946579483,,54.5555487,,,,,,,,,,,,,,,,,,,,
3_76,,105,Natrojarosite,,,,,53.00805644,,,,,7.615483625,,,39.37645993,,,,,,,,,,,,,,,,,,,,
3_77,,106,Natrojarosite,,,,,53.27323917,,,,,7.476281733,0.80441006,0.236591194,38.20947784,,,,,,,,,,,,,,,,,,,,
3_78,,107,Nikischerite,,,19.13373195,,59.3408196,,,,,3.485489281,,,18.03995917,,,,,,,,,,,,,,,,,,,,
3_79,,108,philoxenite,,,3.406096913,,2.966309694,,0.200358642,6.381422747,2.845092716,4.67837429,13.36392142,,54.71794512,,,,1.482653951,,,,,4.548141173,5.409683333,,,,,,,,,,
3_80,,109,Therasiaite,,,0.920264867,,18.50895936,,1.279908608,,,9.223804185,9.107448857,,34.83255411,,26.12706002,,,,,,,,,,,,,,,,,,
3_81,,110,Therasiaite,,,,,21.44498477,,,,,9.244909956,7.032544221,,35.8360498,,26.44151125,,,,,,,,,,,,,,,,,,
3_82,,111,Ungemachite,,,,,7.632311978,,,,,26.33240483,15.00464253,,51.03064067,,,,,,,,,,,,,,,,,,,,
3_83,,112,Ungemachite,,,,,8.638035614,,,,,26.97863633,14.16530657,,50.21802149,,,,,,,,,,,,,,,,,,,,
3_84,,113,Yavapaiite,,,,,25.74496755,,,,,,16.87941657,,57.37561588,,,,,,,,,,,,,,,,,,,,
3_85,,114,Yavapaiite,,,0.113147771,,25.82649304,,,0.082289288,,0.637741982,15.9024049,,57.43792302,,,,,,,,,,,,,,,,,,,,
3_86,,115,Alunite,,,42.46118459,,,,,,,,13.07648074,,44.46233468,,,,,,,,,,,,,,,,,,,,
3_87,,116,Alunite,0.252554242,,42.68166686,,,,,,,0.378831363,12.00780622,0.665824819,44.0133165,,,,,,,,,,,,,,,,,,,,
3_88,,117,Kainite,,,,,,,,20.86348889,,1.734464687,19.99001747,,40.55403045,,16.8579985,,,,,,,,,,,,,,,,,,
3_89,,118,Kainite,,,,,,,,19.86503067,,,23.20245399,,39.4601227,,17.47239264,,,,,,,,,,,,,,,,,,
